university,course,ucas_code,alevel_grades,ib_points_raw
University College London,Hebrew And Hungarian,Q4RH,ABB,34 points
University College London,Hebrew And Italian,Q4R3,ABB,34 points
University College London,Hebrew And Norwegian,Q4RN,ABB,34 points
University College London,Hebrew And Polish,Q4RP,ABB,34 points
University College London,Hebrew And Romanian,Q4RO,ABB,34 points
University College London,Hebrew And Russian,Q4RU,ABB,34 points
University College London,Hebrew And Serbian/Croatian,Q4R7,ABB,34 points
University College London,Hebrew And Spanish,Q4R4,ABB,34 points
University College London,Hebrew And Swedish,Q4R6,ABB,34 points
University College London,Hebrew And Ukrainian,Q4UK,ABB,34 points
University College London,Hungarian And Italian,R7HI,ABB,34 points
University College London,Hungarian And Norwegian,R7HN,ABB,34 points
University College London,Hungarian And Polish,R7HP,ABB,34 points
University College London,Hungarian And Portuguese,R7PH,ABB,34 points
University College London,Hungarian And Romanian,R7HR,ABB,34 points
University College London,Hungarian And Russian,R7HU,ABB,34 points
University College London,Hungarian And Serbian/Croatian,R7SH,ABB,34 points
University College London,Hungarian And Spanish,R7SA,AAB,36 points
University College London,Hungarian And Swedish,R7HW,ABB,34 points
University College London,Hungarian And Ukrainian,R7UH,ABB,34 points
University College London,Hungarian And Yiddish,R7HY,ABB,34 points
University College London,International Social And Political Studies,LV01,A*AA,39 points
University College London,Italian And History Of Art,R3V3,ABB,34 points
University College London,Italian And Jewish Studies,R3V6,ABB,34 points
University College London,Italian And Latin,R3Q6,ABB,34 points
University College London,Italian And Management Studies,RN32,AAB,36 points
University College London,Italian And Norwegian,R3RN,ABB,34 points
University College London,Italian And Philosophy,R3V5,AAB,36 points
University College London,Italian And Polish,R3RP,ABB,34 points
University College London,Italian And Portuguese,R3R5,ABB,34 points
University College London,Italian And Romanian,R3RO,ABB,34 points
University College London,Italian And Russian,R3RU,ABB,34 points
University College London,Italian And Serbian/Croatian,R3R7,ABB,34 points
University College London,Italian And Spanish,R3R4,ABB,34 points
University College London,Italian And Swedish,R3R6,ABB,34 points
University College London,Italian And Ukrainian,R3UK,ABB,34 points
University College London,Italian And Yiddish,R3R9,ABB,36 points
University College London,Italian With Film Studies,R3P3,ABB,34 points
University College London,Media,P300,AAB,36 points
University College London,Norwegian And Polish,R6NP,ABB,34 points
University College London,Norwegian And Portuguese,R6PN,ABB,34 points
University College London,Norwegian And Romanian,R6NR,ABB,34 points
University College London,Norwegian And Russian,R6ON,ABB,34 points
University College London,Norwegian And Serbian/Croatian,R6SN,ABB,34 points
University College London,Norwegian And Spanish,R6SO,ABB,34 points
University College London,Norwegian And Ukrainian,R6NU,ABB,34 points
University College London,Norwegian And Yiddish,R6NY,ABB,34 points
University College London,Polish And Portuguese,R6PP,ABB,34 points
University College London,Polish And Romanian,R7PN,ABB,34 points
University College London,Polish And Russian,R7PR,ABB,34 points
University College London,Polish And Serbian/Croatian,R7SP,ABB,34 points
University College London,Polish And Spanish,R6PO,AAB,36 points
University College London,Polish And Swedish,R7PW,ABB,34 points
University College London,Polish And Ukrainian,R7PU,ABB,34 points
University College London,Polish And Yiddish,R6PY,ABB,34 points
University College London,Romanian And Portuguese,R5RO,ABB,34 points
University College London,Romanian And Russian,R7OC,ABB,34 points
